Distance_(pixels),Gray_Value
454,5.3418
455,5.2942
456,5.9825
457,6.3333
458,6.2824
459,5.7276
460,5.6667
461,5.6667
462,5.6667
463,6.5952
464,7.6563
465,6.9263
466,6.6667
467,6.2343
468,5.6667
469,6.1482
470,6.5442
471,6.6682
472,6.6667
473,6.6667
474,6.8162
475,7.0000
476,6.8969
477,7.7141
478,8.3333
479,8.3333
480,8.1158
481,7.3679
482,7.8503
483,8.0000
484,8.5541
485,9.0562
486,9.2920
487,9.9741
488,10.6669
489,10.9025
490,10.8618
491,10.9094
492,11.5662
493,12.8245
494,13.8098
495,14.3682
496,15.3175
497,14.7849
498,14.9753
499,16.4000
500,17.4674
501,18.2669
502,18.6327
503,18.0615
504,18.7354
505,20.3328
506,21.0000
507,21.6452
508,23.5517
509,24.6667
510,24.1128
511,24.1191
512,24.6061
513,25.9885
514,26.1040
515,26.0000
516,25.9657
517,25.7298
518,25.6667
519,25.5287
520,25.0445
521,25.5064
522,25.6667
523,25.6667
524,25.6667
525,25.9821
526,26.7108
527,25.6671
528,24.8618
529,24.6667
530,24.6667
531,24.3799
532,23.6309
533,23.4197
534,23.3333
535,23.3333
536,23.3333
537,23.3333
538,23.3333
539,23.6892
540,23.5704
541,23.2357
542,23.3628
543,23.6280
544,23.6667
545,24.1101
546,24.8888
547,25.3386
548,25.6173
549,26.3288
550,28.0812
551,28.8016
552,29.9136
553,31.4926
554,32.8546
555,34.0218
556,34.4887
557,35.4599
558,37.7659
559,38.9308
560,39.9731
561,38.6772
562,39.8227
563,42.5934
564,43.9456
565,44.3147
566,44.3670
567,44.0679
568,44.2360
569,45.2706
570,45.7792
571,45.9914
572,45.1880
573,44.4298
574,44.0756
575,44.4227
576,44.8539
577,44.4459
578,43.7056
579,42.2842
580,41.5488
581,39.9623
582,38.7300
583,37.1089
584,35.5854
585,34.9306
586,34.0942
587,32.5571
588,31.1796
589,30.1251
590,28.5964
591,28.1916
592,27.8080
593,27.2641
594,26.7274
595,24.5129
596,24.1102
597,24.4719
598,24.6667
599,24.4041
600,24.6529
601,24.8869
602,25.3024
603,25.4357
604,25.0932
605,24.6667
606,24.7581
607,24.6667
608,24.6450
609,25.3917
610,25.7446
611,26.6081
612,28.0078
613,28.3333
614,28.2984
615,27.5152
616,27.3333
617,27.5329
618,28.0166
619,27.3512
620,26.8735
621,26.2767
622,26.1748
623,26.1862
624,26.3941
625,26.6667
626,26.4793
627,25.6907
628,24.9831
629,22.6491
630,20.9235
631,21.0000
632,20.6143
633,18.3978
634,17.4642
635,16.1302
636,15.1227
637,14.6611
638,14.0000
639,13.8666
640,13.2392
641,12.7597
642,12.1626
643,11.1032
644,10.2827
645,9.5433
646,9.1197
647,9.2927
648,8.7933
649,8.0592
650,8.0000
651,7.6022
652,8.1786
653,8.0000
654,7.8809
655,8.4143
656,8.9142
657,7.6522
658,6.4229
659,5.8307
660,5.3385
661,5.6279
662,5.6613
663,5.0294
664,5.5650
665,5.7377
666,6.1908
667,5.9243
668,5.8470
669,5.9486
670,5.3333
671,5.3333
672,5.3333
673,5.3333
674,5.3333
675,5.1296
676,4.3947
677,4.3264
678,4.1787
679,4.0178
680,3.9625
681,4.0000
682,3.9148
683,3.1780
684,2.4484
685,2.3064
686,3.3148
687,4.1171
688,5.2146
689,5.1628
690,4.7808
691,4.0733
692,3.3657
693,3.0000
694,3.0314
695,3.7570
696,3.9500
697,3.2012
698,3.0000
699,3.0000
700,3.3931
701,4.3310
702,3.7459
703,4.3318
704,5.0391
705,5.3333
706,5.3333
707,5.2904
708,5.3333
709,5.3333
710,5.3333
711,5.3603
712,5.0493
713,4.8265
714,5.4890
715,6.2416
716,6.3333
717,6.1177
718,5.6667
719,5.5632
720,5.9204
721,5.9424
722,5.6667
723,6.3141
724,7.5118
725,7.1146
726,6.7264
727,6.9887
728,7.0000
729,7.0000
730,6.9874
731,7.1590
732,7.1780
733,7.9438
734,9.2384
735,10.2073
736,10.0811
737,8.7055
738,8.5715
739,9.2631
740,10.4729
741,12.2247
742,13.1396
743,13.0518
744,13.7083
745,15.3999
746,15.5756
747,16.3208
748,17.7135
749,18.4954
750,20.0147
751,21.2666
752,21.4297
753,22.9518
754,25.2102
755,26.3837
756,25.8652
757,26.2776
758,27.5881
759,27.8936
760,28.2000
761,28.3304
762,27.6851
763,27.6720
764,27.4572
765,27.9262
766,27.8739
767,27.8035
768,27.2334
769,25.6154
770,25.1171
771,25.0227
772,25.0352
773,25.0172
774,25.0000
775,25.2414
776,24.6965
777,24.8473
778,25.4959
779,26.0641
780,26.3145
781,27.0010
782,27.1324
783,28.0484
784,28.7759
785,29.7469
786,30.7209
787,32.7546
788,34.5454
789,36.5429
790,37.6464
791,38.8480
792,41.0082
793,41.6792
794,42.7128
795,43.3685
796,44.1552
797,45.3716
798,46.0536
799,46.5420
800,47.3039
801,46.2216
802,46.2464
803,47.2836
804,46.9484
805,45.1938
806,42.3726
807,40.1220
808,38.3364
809,36.6641
810,36.0090
811,33.9178
812,31.4854
813,29.3767
814,28.9907
815,27.9419
816,27.5567
817,27.3018
818,26.5657
819,25.8350
820,25.6667
821,25.6667
822,25.5876
823,24.8316
824,24.3649
825,25.2770
826,25.6667
827,26.2609
828,26.3041
829,26.6667
830,26.8847
831,27.6524
832,27.6008
833,27.3269
834,27.3754
835,27.3333
836,26.8098
837,26.2921
838,26.5068
839,25.7562
840,24.7469
841,23.9337
842,22.4990
843,21.6715
844,20.5964
845,19.1058
846,17.6415
847,16.1251
848,15.4935
849,14.6565
850,13.2596
